ITEM_CODE,Sales Year,W#,Week Number,EMP_ID,Quantity,Price,Total$,Sales Period,Sales Quarter,Week Start Date,Week End Date,PayGrade,Region,Manufacturer,Firstname,Lastname,ESP Code,ESP Quantity,ESP Price,ESP Totals
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_002,2,843,1686
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_002,2,843,1686
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_002,2,843,1686
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_002,2,843,1686
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_002,2,843,1686
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_003,4,978,3912
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_003,4,978,3912
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_003,4,978,3912
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_003,4,978,3912
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_003,4,978,3912
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_003,4,978,3912
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_003,4,978,3912
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_003,4,978,3912
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_004,4,843,3372
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_004,4,843,3372
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_004,4,843,3372
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_004,4,843,3372
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_004,4,843,3372
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_004,4,843,3372
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_004,4,843,3372
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_004,4,843,3372
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_005,4,843,3372
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_005,4,843,3372
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_005,4,843,3372
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_005,4,843,3372
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_005,4,843,3372
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_005,4,843,3372
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_005,4,843,3372
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_005,4,843,3372
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_006,4,372,1488
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_006,4,372,1488
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_006,4,372,1488
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_006,4,372,1488
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_006,4,372,1488
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_006,4,372,1488
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_006,4,372,1488
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_006,4,372,1488
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_007,2,1027,2054
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_007,2,1027,2054
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_007,2,1027,2054
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_007,2,1027,2054
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_007,2,1027,2054
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_007,2,1027,2054
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_007,2,1027,2054
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_007,2,1027,2054
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_008,1,843,843
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_008,1,843,843
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_008,1,843,843
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_008,1,843,843
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_008,1,843,843
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_008,1,843,843
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_008,1,843,843
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_008,1,843,843
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_001,9,843,7587
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_001,9,843,7587
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_001,9,843,7587
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_001,9,843,7587
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_001,9,843,7587
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_001,9,843,7587
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_001,9,843,7587
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_001,9,843,7587
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_002,6,843,5058
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_002,6,843,5058
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_002,6,843,5058
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_002,6,843,5058
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_002,6,843,5058
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_002,6,843,5058
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_002,6,843,5058
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_002,6,843,5058
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_003,3,978,2934
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_003,3,978,2934
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_003,3,978,2934
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_003,3,978,2934
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_003,3,978,2934
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_003,3,978,2934
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_003,3,978,2934
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_003,3,978,2934
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_004,6,843,5058
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_004,6,843,5058
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_004,6,843,5058
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_004,6,843,5058
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_004,6,843,5058
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_004,6,843,5058
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_004,6,843,5058
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_004,6,843,5058
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_005,9,843,7587
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_005,9,843,7587
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_005,9,843,7587
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_005,9,843,7587
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_005,9,843,7587
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_005,9,843,7587
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_005,9,843,7587
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_005,9,843,7587
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_006,12,372,4464
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_006,12,372,4464
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_006,12,372,4464
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_006,12,372,4464
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_006,12,372,4464
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_006,12,372,4464
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_006,12,372,4464
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_006,12,372,4464
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_007,6,1027,6162
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_007,6,1027,6162
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_007,6,1027,6162
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_007,6,1027,6162
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_007,6,1027,6162
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_007,6,1027,6162
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_007,6,1027,6162
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_007,6,1027,6162
PROD_001,2019,W0,1,EMP244,35,12449,435715,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_008,2,843,1686
PROD_002,2019,W0,1,EMP244,41,14786,606226,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Cat,Gina,Evans,ESP_008,2,843,1686
PROD_003,2019,W0,1,EMP244,27,14999,404973,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_008,2,843,1686
PROD_004,2019,W0,1,EMP244,43,11385,489555,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_008,2,843,1686
PROD_005,2019,W0,1,EMP244,40,13995,559800,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_008,2,843,1686
PROD_006,2019,W0,1,EMP244,36,4575,164700,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_008,2,843,1686
PROD_007,2019,W0,1,EMP244,35,22987,804545,1,2019Q1,2018-12-30,2019-01-05,C12,NW,Bobcat,Gina,Evans,ESP_008,2,843,1686
PROD_008,2019,W0,1,EMP244,17,11589,197013,1,2019Q1,2018-12-30,2019-01-05,C12,NW,John Deere,Gina,Evans,ESP_008,2,843,1686
PROD_001,2019,W0,1,EMP256,31,12449,385919,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_001,3,843,2529
PROD_002,2019,W0,1,EMP256,23,14786,340078,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Cat,Harry,Lawson,ESP_001,3,843,2529
PROD_003,2019,W0,1,EMP256,19,14999,284981,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_001,3,843,2529
PROD_004,2019,W0,1,EMP256,12,11385,136620,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_001,3,843,2529
PROD_005,2019,W0,1,EMP256,15,13995,209925,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_001,3,843,2529
PROD_006,2019,W0,1,EMP256,10,4575,45750,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_001,3,843,2529
PROD_007,2019,W0,1,EMP256,15,22987,344805,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_001,3,843,2529
PROD_008,2019,W0,1,EMP256,13,11589,150657,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_001,3,843,2529
PROD_001,2019,W0,1,EMP256,31,12449,385919,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_002,2,843,1686
PROD_002,2019,W0,1,EMP256,23,14786,340078,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Cat,Harry,Lawson,ESP_002,2,843,1686
PROD_003,2019,W0,1,EMP256,19,14999,284981,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_002,2,843,1686
PROD_004,2019,W0,1,EMP256,12,11385,136620,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_002,2,843,1686
PROD_005,2019,W0,1,EMP256,15,13995,209925,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_002,2,843,1686
PROD_006,2019,W0,1,EMP256,10,4575,45750,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_002,2,843,1686
PROD_007,2019,W0,1,EMP256,15,22987,344805,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_002,2,843,1686
PROD_008,2019,W0,1,EMP256,13,11589,150657,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_002,2,843,1686
PROD_001,2019,W0,1,EMP256,31,12449,385919,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_003,2,978,1956
PROD_002,2019,W0,1,EMP256,23,14786,340078,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Cat,Harry,Lawson,ESP_003,2,978,1956
PROD_003,2019,W0,1,EMP256,19,14999,284981,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_003,2,978,1956
PROD_004,2019,W0,1,EMP256,12,11385,136620,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_003,2,978,1956
PROD_005,2019,W0,1,EMP256,15,13995,209925,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_003,2,978,1956
PROD_006,2019,W0,1,EMP256,10,4575,45750,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_003,2,978,1956
PROD_007,2019,W0,1,EMP256,15,22987,344805,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_003,2,978,1956
PROD_008,2019,W0,1,EMP256,13,11589,150657,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_003,2,978,1956
PROD_001,2019,W0,1,EMP256,31,12449,385919,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_004,2,843,1686
PROD_002,2019,W0,1,EMP256,23,14786,340078,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Cat,Harry,Lawson,ESP_004,2,843,1686
PROD_003,2019,W0,1,EMP256,19,14999,284981,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_004,2,843,1686
PROD_004,2019,W0,1,EMP256,12,11385,136620,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_004,2,843,1686
PROD_005,2019,W0,1,EMP256,15,13995,209925,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_004,2,843,1686
PROD_006,2019,W0,1,EMP256,10,4575,45750,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_004,2,843,1686
PROD_007,2019,W0,1,EMP256,15,22987,344805,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_004,2,843,1686
PROD_008,2019,W0,1,EMP256,13,11589,150657,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_004,2,843,1686
PROD_001,2019,W0,1,EMP256,31,12449,385919,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_005,2,843,1686
PROD_002,2019,W0,1,EMP256,23,14786,340078,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Cat,Harry,Lawson,ESP_005,2,843,1686
PROD_003,2019,W0,1,EMP256,19,14999,284981,1,2019Q1,2018-12-30,2019-01-05,C11,NW,John Deere,Harry,Lawson,ESP_005,2,843,1686
PROD_004,2019,W0,1,EMP256,12,11385,136620,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_005,2,843,1686
PROD_005,2019,W0,1,EMP256,15,13995,209925,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_005,2,843,1686
PROD_006,2019,W0,1,EMP256,10,4575,45750,1,2019Q1,2018-12-30,2019-01-05,C11,NW,Bobcat,Harry,Lawson,ESP_005,2,843,1686
